sample_id	biome
3550	sewage
3551	sewage
3552	sewage
3553	sewage
3554	milk
3555	milk
3556	milk
3557	milk
3558	sewage
3559	sewage
3560	sewage
3561	sewage
3562	sewage
3563	sewage
3564	sewage
3565	sewage
3566	sewage
3567	sewage
3568	sewage
3569	sewage
3570	sewage
3571	sewage
3572	sewage
3573	milk
3574	milk
3575	milk
3576	milk
3577	milk
3578	milk
3579	milk
4192	milk
4193	milk
4194	milk
4195	milk
4196	milk
4197	milk
4198	milk
4199	milk
4425	sewage
4426	sewage
4427	sewage
4428	sewage
4429	sewage
4430	sewage
4431	sewage
4432	sewage
4433	sewage
4434	sewage
4435	sewage
4436	sewage
4437	sewage
4438	milk
4439	milk
4440	milk
4441	milk
4442	milk
4443	milk
4444	milk
4445	milk
4446	milk
4447	milk
4448	milk
4449	milk
4450	milk
4451	milk
4452	milk
4453	milk
